"a aquele", "para isso"
"abrolho", "Ervas anuais ou bienais do Mediterrâneo, com flores rosadas a roxas cercadas por escamas com ponta da coluna, naturalizado na América"
"abruptamente", "rapidamente e sem aviso"
"abrupto", "acontecendo sem aviso ou em um curto espaço de tempo"
"abscesso", "Sintoma que consiste em uma coleção localizada de pus cercado por tecido inflamado"
"abscissar", "o valor de uma coordenada no eixo horizontal"
"ábside", "um recesso ou projeção abobadada ou abobadada em um edifício, especialmente no extremo leste de uma igreja, geralmente contém o altar"
"absintar", "forte licor verde aromatizado com madeira de minhoca e anis"
"absolutamente", "completamente e sem qualificação, usado informalmente como intensificadores"
"absolutismo", "o princípio do poder completo e irrestrito no governo"
"absoluto", "perfeito ou completo ou puro"
"absolver", "deixar de considerar, deixar de consideração judicial"
"absolvição", "o ato de absolver ou remeter, Redenção formal, conforme pronunciado por um padre no sacramento da penitência"
"absorção", "(Física) O processo no qual a energia irradiada por incidentes é retida sem reflexão ou transmissão ao passar por um meio"
"absorto", "doação ou marcado por total atenção a"
"absorvente", "ter energia, capacidade ou tendência a absorver ou absorver algo (líquidos ou energia etc.)"
"absorver", "aceitar, também metaforicamente"
"absorvir", "doação ou marcado por total atenção a"
"abstenção", "a característica de abstenção (especialmente de álcool)"
"abster", "Escolha não consumir"
"abstinêncer", "ato ou prática de se abster de ceder a um apetite"
"abstração", "Um conceito geral formado pela extração de recursos comuns de exemplos específicos"
"abstrato", "existindo apenas na mente, separado da modalidade"
"absurda", "inconsistente com a razão ou lógica ou senso comum"
"absurdo", "incongruente, convidando ridículo"
"abundânciar", "propriedade de uma quantidade ou oferta mais do que adequado"
"abundante", "presente em grande quantidade"
"abundar", "ser abundante ou abundante, existe em grandes quantidades"
"abusar", "mudar o propósito ou função inerente de algo"
"abusivamente", "de maneira abusiva"
"abusivo", "caracterizado por maus-tratos físicos ou psicológicos"
"abuso", "tratamento cruel ou desumano"
"abutre", "Qualquer uma das várias grandes aves diurnas de rapina tendo cabeças nuas e garras fracas e se alimentando principalmente de carniça"
"acabamento", "o fim temporal, o tempo final"
"acabar", "(de materiais ou bens) trazidos para o estado final desejado"
"acabar", "expresso como um número redondo"
"acaber", "De acordo com o Antigo Testamento, ele era um rei pagão de Israel e marido de Jezebel (século IX aC)"
"acabrunhar", "causar grande infelicidade por, sofrimento"
"acáciar", "qualquer uma das várias árvores espinhas ou arbustos do gênero Acacia"
"academia", "um estabelecimento instruído para o avanço do conhecimento"
"acadêmicar", "de ou parecido ou típico de uma faculdade ou estudantes universitários"
"acadêmico", "associado à academia ou uma academia"
"açafr", "um tom de amarelo tingido de laranja"
"Acaia", "Uma região da Grécia antiga na costa norte do Peloponeso"
"acalentar", "tornar quente ou quente"
"acalentar", "Uma música tranquila destinada a embalar uma criança para dormir"
"acalmar", "porque se sentir melhor"
"acalorar", "de um buscador, perto do objeto procurado"
"açambarcar", "ter e controlar total e exclusivamente"
"acampamento", "o ato de acampar e viver em tendas em um acampamento"
"acampamento", "um grupo de pessoas que moram juntas em um acampamento"
"acampar", "viver em ou como se estivesse em uma barraca"
"acanhar", "sentindo ou causado a se sentir desconfortável e consciente"
"ação", "algo que as pessoas fazem ou causam para acontecer"
"acariciar", "toque ou golpe levemente de maneira amorosa ou cativante"
"ácaro", "ácaros e carrapatos"
"ácaro", "ácaros e carrapatos"
"acarretamento", "algo que é deduzido (deduzido ou implica ou implícito)"
"acarretar", "conter como parte"
"acasalamento", "o ato de combinar um homem e uma mulher para fins reprodutivos"
"acasalar", "se envolver em relações sexuais"
"acaso", "por acaso"
"acautelar", "Mantenha em segurança e proteja de danos, decadência, perda ou destruição"
"aceitação", "o ato de pegar algo que é oferecido"
"aceitar", "considere ou segure como verdadeiro"
"aceitar", "Geralmente aprovado ou convincente reconhecimento"
"aceitar", "Geralmente aprovado ou convincente reconhecimento"
"aceitar", "um discurso apoiando um movimento"
"aceitável", "digno de aceitação ou satisfatório"
"aceleração", "Alterando a localização rapidamente"
"acelerador", "um instrumento científico que aumenta a energia cinética das partículas carregadas"
"acelerar", "acelerou, a partir de um curso acadêmico"
"acelerar", "mover mais rápido"
"acelgar", "longos caules esbranquiçados suculentos com grandes folhas verdes"
"acenar", "Abaixe e eleve a cabeça, para indicar consentimento, concordância ou confirmação"
"acenar", "o ato de acenar com a cabeça"
"acender", "despertar ou excitar sentimentos e paixões"
"acento", "Uma marca diacrítica usada para indicar estresse ou colocada acima de uma vogal para indicar uma pronúncia especial"
"acentuação", "A destaque relativa de uma nota sílaba ou musical (especialmente no que diz respeito ao estresse ou tom)"
"acentuar", "(de verso) ter um sistema métrico baseado no estresse, em vez de sílabas ou quantidade"
"acentuar", "coloque estresse, total com sotaque"
"acepção", "o significado de uma palavra ou expressão, a maneira pela qual uma palavra, expressão ou situação pode ser interpretada"
"acerbo", "Tomado duro ou corrosivo"
"acercar", "coloque nas mãos ou na custódia de"
"acerolo", "ácido vermelho ou amarelo fruto de cereja de um arbusto americano tropical muito rico em vitamina C"
"acertar", "alterar ou regular para obter precisão ou estar em conformidade com um padrão"
"acertar", "sensacional na aparência ou emocionante em vigor"
"acervo", "várias coisas agrupadas ou consideradas como um todo"
"acesor", "fornecido com luz artificial"
"acessar", "alcançar ou obter acesso a"
"acessível", "fácil de conhecer, conversar ou fazer negócios com"
"acesso", "o ato de entrar"
"acessório", "auxiliando e favorecendo um crime"
"acessório", "uma pessoa que é assistente ou subordinada a outra"
"acetato", "Um tecido feito de fibras de acetato de celulose"
"acetilêniar", "Um gás inflamável incolor usado principalmente em soldagem e síntese orgânica"
"Acetileno", "Um gás inflamável incolor usado principalmente em soldagem e síntese orgânica"
"acetonar", "o cetona mais simples, um líquido altamente inflamável amplamente utilizado como solvente orgânico e como material para fazer plásticos"
"achar", "conhecer ou tomar conhecimento, geralmente acidentalmente"
"achar", "o ato de determinar as propriedades de algo, geralmente por pesquisa ou cálculo"
"acíclico", "tendo uma estrutura de cadeia aberta"
"acidental", "associado por acaso e não parte integrante"
"acidentalmente", "sem planejamento antecipado"
"acidentar", "coberto com ou cheio de solavancos"
"acidente", "um acidente infeliz, especialmente um causando danos ou lesões"
"acidente", "uma notação musical que faz uma nota nítida ou plana ou natural, embora isso não faça parte da assinatura da chave"
"acidez", "propriedade de ser ácido"
"acidificação", "o processo de se tornar ácido ou ser convertido em um ácido"
"acidificar", "Torne-se ácido"
"ácido", "Qualquer um dos vários compostos solúveis em água com um sabor azedo e capaz de transformar o decorremu-títulos e reagir com uma base para formar um sal"
"ácido", "tendo as características de um ácido"
"acima", "em ou em um lugar que é maior"
"acinzentar", "de uma cor acromática de qualquer leveza intermediária entre os extremos de branco e preto"
"acinzentar", "ficar cinza"
"acionar", "instituir procedimentos legais contra, registrar um processo contra"
"acionistar", "alguém que detém ações de ações em uma corporação"
"ácir", "sendo ou contendo um ácido, de uma solução com excesso de átomos de hidrogênio (com um pH inferior a 7)"
"aclamação", "aprovação entusiasmada"
"aclamar", "mostrar aprovação ou bons desejos gritando"
"aclaração", "uma interpretação que remove os obstáculos à compreensão"
"aclimatação", "Adaptação a um novo clima (uma nova temperatura ou altitude ou ambiente)"
"aclimatar", "Acostume-se a um certo clima"
"Aclive", "uma inclinação ou nota ascendente (como em uma estrada)"
"acne", "uma doença inflamatória envolvendo as glândulas sebáceas da pele, caracterizado por pápulas ou pústulas ou comedonas"
"aço", "Apontador de faca composto por uma haste de aço estriada"
"acobertar", "impedir de ser visto ou descoberto"
"açoitar", "ataque como se por chicotear"
"açoite", "um instrumento com uma alça e um cílio flexível que é usado para chicotear"
"acolá", "em ou em um local indicado (geralmente distante)"
"acolher", "fornecer moradia para"
"acolhimento", "o ato de admitir alguém para entrar"
"acolhir", "o ato de admitir alguém para entrar"
"acólito", "Uma pessoa que fornece acompanhamento musical (geralmente em um piano)"
"acometer", "pronto para trabalhar, gire as energias de alguém vigorosamente para uma tarefa"
"acomodação", "(fisiologia) o ajuste automático na distância focal da lente natural do olho"
"acomodar", "Ajuste para (melhor) funcionar"
"acompanhamento", "Um exame subsequente de um paciente com o objetivo de monitorar o tratamento anterior"
"acompanhante", "Uma pessoa que fornece acompanhamento musical (geralmente em um piano)"
"acompanhar", "realizar um acompanhamento para"
"acompanhar", "ter companheiros ou uma escolta"
"aconcágua", "a montanha mais alta do hemisfério ocidental, Localizado nos Andes no oeste da Argentina (22.834 pés de altura)"
"aconselhar", "dar conselhos a"
"aconselhável", "digno de ser recomendado ou sugerido, prudente ou sábio"
"acontecer", "venha ter ou passar por uma mudança de (recursos físicos e atributos)"
"acontecimento", "algo que acontece em um determinado lugar e tempo"
"acoplamento", "o ato de combinar um homem e uma mulher para fins reprodutivos"
"acoplar", "envolvido em hostilidades militares"
"acoplar", "traga dois objetos, idéias ou pessoas"
"acordar", "não em um estado de sono, completamente consciente"
"acordar", "Pare de dormir"
"acorde", "Uma combinação de três ou mais notas que se misturam harmoniosamente quando soaram juntas"
"acorde", "Uma combinação de três ou mais notas que se misturam harmoniosamente quando soaram juntas"
"acordeãar", "um instrumento portátil em forma de caixa livre, Os juncos são feitos para vibrar por ar dos fole controlados pelo jogador"
"acordo", "um acordo vinculativo entre duas ou mais pessoas que são aplicáveis ​​por lei"
"acordo", "um caminho intermediário entre dois extremos"
"Açores", "ilhas no Oceano Atlântico pertencentes a Portugal"
"acorrentar", "ligado a correntes"
"acorrentar", "restringir com grilhões"
"acossar", "causa para sofrer"
"acostamento", "uma borda estreita de terra (geralmente não pavimentada) ao longo de uma estrada"
"acostumar", "causa para aceitar ou ser endurecido, habituar"
"acostumar", "tendo conhecimento justo de"
"açougar", "um edifício onde os animais são massacrados"
"açougueira", "um varejista de carne"
"açougueiro", "um varejista de carne"
"acre", "Tomado duro ou corrosivo"
"acre", "Tomado duro ou corrosivo"
"acreditar", "aceitar como verdadeiro, levar para ser verdade"
"acrescentar", "crescer por adição"
"Acréscimo", "Uma cláusula que é anexada a um projeto de lei legislativo"
"acrimônia", "uma maneira grosseira e amarga"
"acrobacer", "os movimentos de ginástica de um acrobata"
"acrobático", "vigorosamente ativo"
"acrobato", "um atleta que realiza atos que exigem habilidade, agilidade e coordenação"
"acrópole", "a cidadela em cidades gregas antigas"
"Acrópole", "a cidadela em cidades gregas antigas"
"actínio", "um elemento radioativo da série Actinide, encontrado em minérios de urânio"
"açúcar", "Um carboidrato cristalino branco usado como adoçante e conservante"
"açucareiro", "um prato no qual o açúcar é servido"
"açucena", "qualquer planta liliácea do gênero Lilium tendo flores pendentes vistosas"
"acuidader", "uma maneira grosseira e amarga"
"aculturação", "todo o conhecimento e valores compartilhados por uma sociedade"
"acumulação", "o ato de acumular"
"acumulador", "um dispositivo que produz eletricidade, pode ter várias células primárias ou secundárias dispostas em paralelo ou em série"
"acumulador", "uma bateria voltaica que armazena carga elétrica"
"acumular", "coletar ou reunir"
"acumulativo", "marcado pela aquisição ou acumulação"
"acúmulo", "o ato de acumular"
"acupunturar", "Tratamento da dor ou doença inserindo as pontas das agulhas em pontos específicos na pele"
"acurar", "em conformidade exatamente ou quase exatamente com o fato ou a um padrão ou executando com precisão total"
"acusação", "(Direito Penal) Um pedido que descreva algum erro ou ofensa errada"
"acusador", "contendo ou expressando acusação"
"acusar", "assediar com críticas constantes"
"acusar", "um réu em um processo criminal"
"acusar", "uma pessoa ou instituição contra a qual uma ação é levada a um tribunal, a pessoa sendo processada ou acusada"
"acusativo", "Servindo como ou indicando o objeto de um verbo ou de certas preposições e usado para certos outros fins"
"acústico", "de ou relacionado à ciência da acústica"
"acústico", "o estudo das propriedades físicas do som"
"adagar", "uma faca curta com uma lâmina pontiaguda usada para piercing ou esfaquear"
"adágio", "(Música) Uma composição tocada em Adagio Tempo (lenta e graciosamente)"
"adãor", "(Antigo Testamento) na mitologia judaico-cristã, o primeiro homem e o marido de Eva e o progenitor da raça humana"
"adaptação", "(Fisiologia) O ajuste responsivo de um órgão sentido (como olho) para condições variadas (como de luz)"
"adaptador", "dispositivo que permite que algo seja usado de uma maneira diferente daquele para o qual se destinou ou torna diferentes peças de aparelho compatíveis"
"adaptar", "Ajuste para (melhor) funcionar"
"adaptar", "mudou para melhorar ou tornar mais adequado para um propósito específico"
"adaptativo", "de ou relacionado à adaptação"
"adaptável", "tendo uma capacidade de adaptação"
"adegar", "espaço de armazenamento onde os vinhos são armazenados"
"adelgaçar", "tornando-se gradualmente mais estreito"
"ademal", "além disso"
"adenóidir", "relacionados a ou semelhantes a glândulas linfáticas ou tecido linfóide"
"adentro", "por dentro"
"adepto", "alguém que acredita e ajuda a espalhar a doutrina de outro"
"adequação", "a qualidade de ter as propriedades que são adequadas para um propósito específico"
"adequadamente", "de maneira apropriada"
"adequado", "ter as qualidades ou recursos necessários para cumprir uma tarefa"
"adequar", "adequar-se ou mudar para se adequar a um novo propósito"
"ader", "matéria textual que é adicionada a uma publicação, geralmente no final"
"ader", "uma pasta rasa e retangular"
"aderêncer", "apoio fiel a uma causa ou partido político ou religião"
"aderente", "grudando rápido"
"aderir", "venha ou fique em contato próximo com, adere ou se mantenha e resista à separação"
"adesão", "apoio fiel a uma causa ou partido político ou religião"
"adesivo", "tendendo a aderir"
"adestramento", "manobras de um cavalo em resposta a sinais corporais pelo piloto"
"adeu", "um reconhecimento ou expressão de boa vontade em se separar"
"adiabático", "ocorrendo sem perda ou ganho de calor"
"adiamento", "ato de adiar um tempo futuro"
"adiantar", "causa para se mover mais rápido"
"adiante", "em ou na frente"
"adiar", "o ato de atrasar, inatividade resultando em algo sendo adiado até mais tarde"
"adição", "o ato de adicionar uma coisa a outra"
"adicional", "Além ou adicionado"
"adicionar", "fazer uma adição (a), junte-se ou combine ou se unir com os outros, aumentar a qualidade, quantidade, tamanho ou escopo de"
"aditamento", "Uma cláusula que é anexada a um projeto de lei legislativo"
"aditivo", "algo adicionado para aprimorar alimentos ou gasolina ou tinta ou remédio"
"aditivo", "caracterizado ou produzido por adição"
"adivinha", "um problema difícil"
"adivinhação", "um problema difícil"
"adivinhão", "alguém que faz previsões do futuro (geralmente com base em conhecimento especial)"
"adivinhar", "apresentado, de um palpite, apesar da possível refutação"
"adivinhar", "Um problema particularmente desconcertante que se diz ter uma solução correta"
"adivinho", "alguém que faz previsões do futuro (geralmente com base em conhecimento especial)"
"adjacente", "mais próximo em espaço ou posição, imediatamente adjacente sem espaço intermediário"
"adjetivo", "de ou se relacionar ou funcionar como um adjetivo"
"adjudicação", "o julgamento final em um processo legal, o ato de pronunciar o julgamento com base nas evidências apresentadas"
"adjudicar", "dar conforme julgado devido ou com base no mérito"
"adjunto", "de ou relacionado a uma pessoa que está subordinada a outra"
"administração", "o ato de governar, autoridade de exercício"
"administrador", "alguém que gerencia uma agência ou departamento governamental"
"administrar", "dar ou aplicar (medicamentos)"
"administrativo", "de ou relacionado ou responsável pela administração"
"admiração", "um julgamento favorável"
"admirador", "alguém que admira uma jovem"
"admirar", "afetar com admiração"
"admirável", "merecedor da mais alta estima ou admiração"
"admiravelmente", "de maneira admirável"
"admissão", "o ato de admitir alguém para entrar"
"admitir", "aceitar (alguém) ser o que é reivindicado ou aceitar seu poder e autoridade"
"admoestação", "o ato de exortar, uma tentativa sincera de persuasão"
"admoestar", "advertem ou conselhos em termos de comportamento de alguém"
"adoção", "a apropriação (de idéias ou palavras etc) de outra fonte"
"adocicar", "com adoçante adicionado"
"adoecer", "Fique doente"
"adoentar", "cheio de extremo perigo, Quase sem esperança"
"adoentar", "Fique doente"
"adolescêncio", "maturidade precoce, o estado de ser jovem ou imaturo ou inexperiente"
"adolescente", "um jovem entre o início da puberdade e maturidade"
"adônis", "ervas anuais ou perenes"
"adoração", "a atividade de adoração"
"adorador", "alguém que admira uma jovem"
"adorar", "A adoração dada a Deus sozinha"
"adorável", "amável especialmente de uma maneira infantil ou ingênua"
"adormecer", "em um estado de sono"
"adormecer", "Mudança de um estado de vigília para um sono"
"adornar", "fornecer decoração"
"adornar", "fornecido com algo destinado a aumentar sua beleza ou distinção"
"adorno", "algo usado para embelezar"
"adotar", "adquirido como o seu por livre escolha"
"adotar", "levar para a família"
"adotivo", "adquirido como o seu por livre escolha"
"adquirir", "aja de uma certa maneira para adquirir"
"adquirir", "obteve através das forças ambientais"
"adquirível", "capaz de ser obtido"
"adrenalinar", "uma catecolamina secretada pela medula adrenal em resposta ao estresse (nome comercial adrenalina), estimula a ação do nervo autonômico"
"Adriano", "Fisiologista inglês que conduziu pesquisas sobre a função dos neurônios, 1º Barão de Cambridge (1889-1997)"
"adriático", "Um braço do Mediterrâneo entre a Eslovênia e a Croácia e o Montenegro e a Albânia a leste e a Itália no oeste"
"adro", "uma praça pública com espaço para pedestres"
"adstringência", "uma droga que causa contração de tecidos e canais corporais"
"adstringente", "tendendo a se unir ou contrair tecido orgânico mole"
"aduano", "dinheiro cobrado sob uma tarifa"
"adubo", "Qualquer material animal ou vegetal usado para fertilizar a terra, especialmente excremes de animais, geralmente com material de ninhada"
"adulação", "o ato de admirar fortemente"
"adular", "influência ou desejo por insistência gentil, acariciada ou lisonjeira"
"adulteraçãor", "o ato de adulterar (especialmente a substituição ilícita de uma substância por outro)"
"adulterar", "corrupto, degradado ou impuro adicionando uma substância estrangeira ou inferior, frequentemente substituindo ingredientes valiosos por outros inferiores"
"adulterino", "Não é fiel a um cônjuge ou amante"
"adultério", "sexo extraconjugal que interfere intencionalmente e maliciosamente nas relações matrimoniais"
"adúltero", "alguém que comete adultério ou fornicação"
"adulto", "qualquer animal maduro"
"adulto", "qualquer animal maduro"
"adutora", "Um canal que se assemelha a uma ponte, mas carrega água sobre um vale"
"adventício", "estar do lado de fora ou mais longe de um centro"
"advento", "chegada que foi aguardada (especialmente de algo importante)"
"advérbio", "a palavra classe que qualifica verbos ou cláusulas"
"adversário", "alguém que oferece oposição"
"advertência", "uma empresa representa"
"advertir", "conscientizar"
"advocacer", "o cargo de advogado"
"advogado", "uma pessoa que pede por uma causa ou propõe uma ideia"
"advogar", "entrar em um apelo, como nos tribunais"
"advogar", "um advogado que defende casos no tribunal"
"ae bdômen", "a região do corpo de um vertebrado entre o tórax e a pelve"
"aéreo", "existente ou vivendo ou crescendo ou operando no ar"
"aerodinâmico", "projetado ou organizado para oferecer o menos resistente ao fluxo de fluido"
"aerodinâmico", "projetado ou organizado para oferecer o menos resistente ao fluxo de fluido"
"aeródromo", "um lugar onde os aviões decolam e a terra"
"aerogramar", "Uma carta enviada por correio aéreo"
"aerólito", "Um meteorito pedregoso que consiste em minerais de silicato"
"aeromoçar", "uma mulher mordomo em um avião"
"aeromoço", "um atendente em um avião"
"aeronautar", "alguém que opera uma aeronave"
"aeronáutico", "a teoria e a prática da navegação através do ar ou espaço"
"aeronáutico", "de ou pertencente à aeronáutica"
"aeronave", "um veículo que pode voar"
"aeronave", "um veículo que pode voar"
"aeroplano", "um veículo que pode voar"
"aeroporto", "Um aeroporto equipado com torre de controle e hangares, além de acomodações para passageiros e cargas"
"aeroporto", "um lugar onde os aviões decolam e a terra"
"aerossol", "uma nuvem de partículas sólidas ou líquidas em um gás"
"aeróstato", "Bolsa grande não-rígida grande cheia de gasolina ou ar aquecido"
"afã", "um sentimento específico de desejo"
"afabilidade", "uma disposição para ser amigável e acessível (fácil de conversar)"
"afagar", "toque de ânimo leve e repetidamente, assim como os movimentos de escovação"
"afastamentar", "Indiferença por retirada pessoal"
"afastar", "força para ir embora, usado com significados concretos e metafóricos"
"afastar", "remoto de maneira"
"afável", "difusando calor e simpatia"
"afecção", "uma sensação positiva de gostar"
"afeganistão", "um país montanhoso sem litoral na Ásia Central, Formada pelo Irã a oeste e Rússia ao norte e Paquistão a leste e sul"
"afegão", "de ou relacionado a ou característica do Afeganistão ou de seu povo"
"afegão", "raça alta graciosa de cão com um longo casaco sedoso, nativo do Oriente Próximo"
"afeição", "um processo de qualidade de sentimentos de afeto ou amor"
"afeiçoar", "extravagante ou tolamente amoroso e indulgente"
"afeminar", "tem assuntos amorosos, de homens"
"aferir", "colocar em oposição para mostrar ou enfatizar as diferenças"
"aferrar", "Segure firmemente, geralmente com as mãos"
"aferroar", "Use uma faca em"
"aferrolhar", "Torne-se fixo ou preso"
"afetação", "uma pretensão deliberada ou exibição exagerada"
"afetar", "agir fisicamente, ter um efeito sobre"
"afetar", "agiu sobre, influenciado"
"afetir", "o aspecto subjetivo consciente do sentimento ou emoção"
"afetivo", "caracterizado por emoção"
"afeto", "nomeado para um cargo ou dever"
"afiançar", "dar uma garantia ou assumir responsabilidade"
"afiar", "tendo uma ponta nítida ou ponto"
"afiar", "Torne-se afiado ou mais nítido"
"afilhar", "uma criança que é patrocinada por um adulto (o padrinho) no batismo"
"afilhar", "uma criança que é patrocinada por um adulto (o padrinho) no batismo"
"afiliação", "o ato de se tornar formalmente conectado ou unido"
"afiliar", "Junte-se a uma afiliação"
"afiliar", "sendo unido em estreita associação"
"afim", "relacionado na natureza"
"afinação", "(música) calibrar algo (um instrumento ou circuito eletrônico) para uma frequência padrão"
"afinador", "Alguém que sintoniza pianos"
"afinal", "Apesar das expectativas"
"afinar", "(de idéias, imagens, representações, expressões) caracterizadas por perfeita conformidade com o fato ou a verdade, estritamente correto"
"afinar", "Ajuste para (melhor) funcionar"
"afinidade", "uma atração natural ou sentimento de parentesco"
"afirmacão", "um ponto afirmado como parte de um argumento"
"afirmação", "uma declaração afirmando a existência ou a verdade de algo"
